Client_ID,Client_Type,Region,Product,Subscription_Tier,Monthly_Fee,Trading_Volume,Usage_Hours,Support_Tickets,Contract_Length,Market_Volatility,Competitor_Price,Revenue,Churn,Month
C070,Hedge Fund,APAC,Fixed Income Feed,Professional,2179,42555,236,12,39,16.05,2626,2463.24,0,2024-03-10
C071,Hedge Fund,Americas,Equity Feed,Basic,4006,47959,156,3,19,30.54,4201,4788.73,0,2024-03-11
C072,Hedge Fund,Americas,Equity Feed,Professional,3244,1728,29,13,31,12.64,2758,2744.41,1,2024-03-12
C073,Bank,EMEA,Fixed Income Feed,Enterprise,3856,51517,56,0,32,14.16,3512,5178.1,1,2024-03-13
C074,Hedge Fund,EMEA,FX Feed,Basic,4545,67234,242,0,14,10.08,4692,5078.14,0,2024-03-14
C075,Bank,APAC,Equity Feed,Basic,1743,40954,23,7,31,13.5,1503,2034.21,1,2024-03-15
C076,Hedge Fund,Americas,Fixed Income Feed,Basic,3618,48280,152,1,27,24.19,3274,4010.68,0,2024-03-16
C077,Asset Manager,Americas,Fixed Income Feed,Basic,2641,80459,10,11,35,28.18,2187,2853.69,1,2024-03-17
C078,Asset Manager,Americas,Fixed Income Feed,Professional,3559,17779,63,14,22,33.83,3382,4241.43,1,2024-03-18
C079,Broker,APAC,FX Feed,Basic,3459,64932,268,7,31,13.2,3802,3143.08,0,2024-03-19
C080,Asset Manager,APAC,Fixed Income Feed,Enterprise,2765,73936,153,6,41,35.52,2949,2564.12,0,2024-03-20
C081,Broker,EMEA,Fixed Income Feed,Enterprise,2979,25466,21,9,6,32.38,2608,4180.28,1,2024-03-21
C082,Asset Manager,APAC,Fixed Income Feed,Basic,2135,37939,233,9,13,22.26,2045,3121.97,0,2024-03-22
C083,Bank,Americas,Fixed Income Feed,Enterprise,2257,70896,281,1,40,37.99,1851,2395.39,0,2024-03-23
C084,Asset Manager,Americas,Equity Feed,Basic,4952,36270,165,5,20,39.73,5078,4900.11,0,2024-03-24
C085,Broker,APAC,Equity Feed,Basic,2570,60163,17,5,27,16.15,2824,3214.56,0,2024-03-25
C086,Broker,Americas,Fixed Income Feed,Enterprise,3349,83637,131,2,19,21.38,3780,3637.4,0,2024-03-26
C087,Hedge Fund,Americas,FX Feed,Basic,3751,52934,173,10,31,37.79,3542,3067.46,0,2024-03-27
C088,Bank,APAC,Equity Feed,Enterprise,4230,65895,99,1,33,31.65,4523,3846.37,0,2024-03-28
C089,Asset Manager,APAC,Fixed Income Feed,Professional,2989,33307,145,11,28,11.44,3299,3889.23,0,2024-03-29
C090,Hedge Fund,Americas,Equity Feed,Basic,2131,55098,195,0,19,33.45,1913,2687.72,0,2024-03-30
C091,Asset Manager,Americas,Equity Feed,Professional,3316,61921,187,5,29,34.84,2884,2715.7,0,2024-03-31
C092,Asset Manager,Americas,FX Feed,Enterprise,1515,6486,37,11,7,32.52,1674,1447.4,0,2024-04-01
C093,Hedge Fund,EMEA,Fixed Income Feed,Professional,1848,9335,229,4,31,33.99,1358,1777.32,0,2024-04-02
C094,Hedge Fund,EMEA,Fixed Income Feed,Professional,3587,87900,50,13,19,34.75,3340,4556.66,1,2024-04-03
C095,Hedge Fund,EMEA,FX Feed,Enterprise,3339,90112,237,13,12,15.59,3680,2717.27,0,2024-04-04
C096,Hedge Fund,APAC,FX Feed,Professional,835,98203,201,10,8,17.07,1206,728.85,0,2024-04-05
C097,Hedge Fund,EMEA,Fixed Income Feed,Professional,1395,12130,154,8,28,29.01,1444,1897.12,0,2024-04-06
C098,Asset Manager,APAC,Fixed Income Feed,Enterprise,4046,88508,210,0,23,37.24,3679,3742.47,0,2024-04-07
C099,Hedge Fund,APAC,FX Feed,Professional,1351,61566,221,14,43,19.49,1562,1698.1,0,2024-04-08
C100,Bank,EMEA,Equity Feed,Enterprise,2187,67703,229,14,40,27.65,1709,2114.23,0,2024-04-09
